Titration Data Only,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,,,,,
,Time,,,,,Meas. value,,,,,,Temp.,,,dE,,,,,,,,,,
,[s],,,,,[mV],,,,,,[°C],,,[mV],,,,,,,,,,
,1,,,,,-27.0,,,,,,19.5,,,,,,,,,,,,,
,2,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,3,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,4,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,5,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,6,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,7,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,8,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,9,,,,,-27.1,,,,,,19.5,,,-0.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,,,,,
,Time,,V,,,,Meas. value,,dV,,,,Temp.,dE,,,,,,EP,,,,,
,[s],,[mL],,,,[mV],,[mL],,,,[°C],[mV],,,,,,,,,,,
,91,,0.6000,,,,231.2,,0.0200,,,,19.9,0.7,,,,,34.00,,,,,,
,94,,0.6200,,,,231.9,,0.0200,,,,20.0,0.7,,,,,33.21,,,,,,
,97,,0.6400,,,,232.5,,0.0200,,,,20.0,0.6,,,,,32.50,,,,,,
,100,,0.6600,,,,233.2,,0.0200,,,,20.0,0.7,,,,,31.79,,,,,,
,103,,0.6800,,,,233.8,,0.0200,,,,20.0,0.6,,,,,30.71,,,,,,
,106,,0.7000,,,,234.4,,0.0200,,,,20.0,0.6,,,,,30.00,,,,,,
,109,,0.7200,,,,235.0,,0.0200,,,,20.0,0.6,,,,,29.00,,,,,,
,112,,0.7400,,,,235.6,,0.0200,,,,20.0,0.6,,,,,28.20,,,,,,
,115,,0.7600,,,,236.1,,0.0200,,,,20.0,0.5,,,,,28.01,,,,,,
,118,,0.7800,,,,236.7,,0.0200,,,,20.0,0.6,,,,,27.50,,,,,,
,121,,0.8000,,,,237.2,,0.0200,,,,20.0,0.5,,,,,26.70,,,,,,
,124,,0.8200,,,,237.8,,0.0200,,,,20.0,0.6,,,,,26.50,,,,,,
,127,,0.8400,,,,238.3,,0.0200,,,,20.0,0.5,,,,,26.50,,,,,,
,130,,0.8600,,,,238.8,,0.0200,,,,20.0,0.5,,,,,26.51,,,,,,
,133,,0.8800,,,,239.3,,0.0200,,,,20.0,0.5,,,,,26.58,,,,,,
,136,,0.9000,,,,239.9,,0.0200,,,,20.0,0.6,,,,,25.78,,,,,,
,139,,0.9200,,,,240.4,,0.0200,,,,20.0,0.5,,,,,24.49,,,,,,
