Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,37,1.1255,,,,168.7,,,0.0025,,,21.6,,1.8,,,,
,38,1.1280,,,,169.9,,,0.0025,,,21.6,,1.2,,,,
,39,1.1315,,,,171.0,,,0.0035,,,21.6,,1.1,,,,
,40,1.1355,,,,172.1,,,0.0040,,,21.6,,1.1,,,,
,41,1.1405,,,,173.4,,,0.0050,,,21.6,,1.3,,,,
,42,1.1455,,,,174.8,,,0.0050,,,21.6,,1.4,,,,
,43,1.1480,,,,176.2,,,0.0025,,,21.6,,1.4,,,,
,44,1.1500,,,,177.1,,,0.0020,,,21.6,,0.9,,,,
,45,1.1525,,,,177.7,,,0.0025,,,21.6,,0.6,,,,
,46,1.1555,,,,178.5,,,0.0030,,,21.6,,0.8,,,,
,47,1.1580,,,,179.1,,,0.0025,,,21.6,,0.6,,,,
,48,1.1605,,,,179.7,,,0.0025,,,21.6,,0.6,,,,
,49,1.1630,,,,180.3,,,0.0025,,,21.6,,0.6,,,,
,50,1.1650,,,,180.8,,,0.0020,,,21.6,,0.5,,,,
,51,1.1675,,,,181.4,,,0.0025,,,21.6,,0.6,,,,
,52,1.1690,,,,181.9,,,0.0015,,,21.6,,0.5,,,,
,53,1.1705,,,,182.2,,,0.0015,,,21.6,,0.3,,,,
,54,1.1720,,,,182.5,,,0.0015,,,21.6,,0.3,,,,
,55,1.1730,,,,182.9,,,0.0010,,,21.6,,0.4,,,,
,56,1.1730,,,,183.1,,,0.0000,,,21.6,,0.2,,,,
,57,1.1740,,,,183.3,,,0.0010,,,21.6,,0.2,,,,
,58,1.1770,,,,183.6,,,0.0030,,,21.6,,0.3,,,,
,59,1.1775,,,,184.0,,,0.0005,,,21.6,,0.4,,,,
,60,1.1775,,,,184.2,,,0.0000,,,21.6,,0.2,,,,
,61,1.1775,,,,184.3,,,0.0000,,,21.6,,0.1,,,,
,62,1.1775,,,,184.3,,,0.0000,,,21.6,,0.0,,,,
,62,1.1775,,,,184.4,,,0.0000,,,21.6,,0.1,,,,
,,1.1775,,,,184.0,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 3/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/19",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,184.8,,,,,21.9,,,,,
,3,,0.0200,,,,,188.1,,0.0200,,,21.9,,,,3.3,
,6,,0.0400,,,,,191.7,,0.0200,,,21.9,,,,3.6,
,9,,0.0600,,,,,195.0,,0.0200,,,21.9,,,,3.3,
,12,,0.0800,,,,,197.9,,0.0200,,,21.9,,,,2.9,
,15,,0.1000,,,,,200.6,,0.0200,,,21.9,,,,2.7,
,18,,0.1200,,,,,202.9,,0.0200,,,21.9,,,,2.3,
,21,,0.1400,,,,,205.2,,0.0200,,,21.9,,,,2.3,
,24,,0.1600,,,,,207.1,,0.0200,,,21.9,,,,1.9,
,27,,0.1800,,,,,208.9,,0.0200,,,21.9,,,,1.8,
,30,,0.2000,,,,,210.7,,0.0200,,,21.9,,,,1.8,
,33,,0.2200,,,,,212.3,,0.0200,,,21.9,,,,1.6,
,36,,0.2400,,,,,213.9,,0.0200,,,21.9,,,,1.6,
,39,,0.2600,,,,,215.3,,0.0200,,,21.9,,,,1.4,
,42,,0.2800,,,,,216.7,,0.0200,,,21.9,,,,1.4,
,45,,0.3000,,,,,218.0,,0.0200,,,21.9,,,,1.3,
,48,,0.3200,,,,,219.3,,0.0200,,,21.9,,,,1.3,
,51,,0.3400,,,,,220.4,,0.0200,,,21.9,,,,1.1,
,54,,0.3600,,,,,221.6,,0.0200,,,21.9,,,,1.2,
,57,,0.3800,,,,,222.6,,0.0200,,,21.9,,,,1.0,
,60,,0.4000,,,,,223.7,,0.0200,,,21.9,,,,1.1,
,63,,0.4200,,,,,224.6,,0.0200,,,21.9,,,,0.9,
,66,,0.4400,,,,,225.6,,0.0200,,,22.0,,,,1.0,
,70,,0.4600,,,,,226.5,,0.0200,,,22.0,,,,0.9,
