Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.9,,,,,,21.3,,,,,,,
,2,,,,-76.9,,,,,,21.3,,,,0,,,
,3,,,,-76.9,,,,,,21.3,,,,0,,,
,4,,,,-76.9,,,,,,21.3,,,,0,,,
,5,,,,-77,,,,,,21.3,,,,-0.1,,,
,6,,,,-77,,,,,,21.3,,,,0,,,
,7,,,,-77,,,,,,21.3,,,,0,,,
,8,,,,-77.1,,,,,,21.3,,,,-0.1,,,
,9,,,,-77.1,,,,,,21.3,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,12,0.08,,,,197.4,,0.02,,,,22.4,,,,2.8,,
,15,0.1,,,,200.1,,0.02,,,,22.4,,,,2.7,,
,18,0.12,,,,202.4,,0.02,,,,22.4,,,,2.3,,
,21,0.14,,,,204.6,,0.02,,,,22.4,,,,2.2,,
,24,0.16,,,,206.5,,0.02,,,,22.4,,,,1.9,,
,27,0.18,,,,208.2,,0.02,,,,22.4,,,,1.7,,
,30,0.2,,,,209.9,,0.02,,,,22.4,,,,1.7,,
,33,0.22,,,,211.5,,0.02,,,,22.4,,,,1.6,,
,36,0.24,,,,213.1,,0.02,,,,22.4,,,,1.6,,
,39,0.26,,,,214.5,,0.02,,,,22.4,,,,1.4,,
,42,0.28,,,,215.9,,0.02,,,,22.4,,,,1.4,,
,45,0.3,,,,217.2,,0.02,,,,22.4,,,,1.3,,
,48,0.32,,,,218.5,,0.02,,,,22.4,,,,1.3,,
,51,0.34,,,,219.6,,0.02,,,,22.4,,,,1.1,,
,54,0.36,,,,220.7,,0.02,,,,22.4,,,,1.1,,
,57,0.38,,,,221.7,,0.02,,,,22.4,,,,1,,
,60,0.4,,,,222.7,,0.02,,,,22.4,,,,1,,
,63,0.42,,,,223.7,,0.02,,,,22.4,,,,1,,
,66,0.44,,,,224.6,,0.02,,,,22.4,,,,0.9,,
,70,0.46,,,,225.6,,0.02,,,,22.4,,,,1,,
,72,0.48,,,,226.5,,0.02,,,,22.4,,,,0.9,,
,76,0.5,,,,227.4,,0.02,,,,22.4,,,,0.9,,
,79,0.52,,,,228.2,,0.02,,,,22.4,,,,0.8,,
,82,0.54,,,,229,,0.02,,,,22.4,,,,0.8,,
,85,0.56,,,,229.8,,0.02,,,,22.4,,,,0.8,,
,88,0.58,,,,230.5,,0.02,,,,22.4,,,,0.7,,
,91,0.6,,,,231.2,,0.02,,,,22.4,,,,0.7,,
,94,0.62,,,,231.9,,0.02,,,,22.4,,,,0.7,,
,97,0.64,,,,232.6,,0.02,,,,22.4,,,,0.7,,
,100,0.66,,,,233.3,,0.02,,,,22.4,,,,0.7,,
,103,0.68,,,,233.9,,0.02,,,,22.4,,,,0.6,,
,106,0.7,,,,234.6,,0.02,,,,22.4,,,,0.7,,
,109,0.72,,,,235.3,,0.02,,,,22.4,,,,0.7,,
,112,0.74,,,,235.9,,0.02,,,,22.4,,,,0.6,,
,115,0.76,,,,236.5,,0.02,,,,22.4,,,,0.6,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
